Name,Party,PartyLetter,BornDate,Age,Profession,Education,Spokesperson_Areas,ImageURL
Morten E.G. Brautsch,Moderaterne,M,26-03-1985,41,,"Cand.jur., Aarhus Universitet, 2006-2012. , Folkeskolens afgangseksamen, Bramdrup Skole, Kolding, 2001. , Studentereksamen, Kolding Amtsgymnasium, 2001-2004.","Færøerneordfører, Grønlandsordfører, Ordfører for nordisk samarbejde, Retsordfører, Sikkerhedsordfører, Udenrigsordfører",https://www.dr.dk/parliament-member-images/morten_eg_brautsch_500.jpg
Morten Messerschmidt,Dansk Folkeparti,O,13-11-1980,45,"Formand for Dansk Folkeparti, cand.jur.","Cand.jur., Københavns Universitet, 2009. , Student, Sankt Annæ Gymnasium, 1996-1999.",,https://www.dr.dk/parliament-member-images/morten_messerschmidt_500.jpg
Naaja H. Nathanielsen,Inuit Ataqatigiit,,06-12-1975,50,Fhv. naalakkersuisoq/minister,"Master i journalistik, Ilisimatusarfik, Grønlands Universitet, Nuuk, 2024. , Cand.psych.aut., Københavns Universitet, 2001.",,"https://www.dr.dk/parliament-member-images/naaja_h,-d-,_nathanielsen_500.jpg"
Nadja Natalie Isaksen,Løsgænger,,05-01-1995,31,Cand.jur.,"Cand.jur., København Universitet, 2017-2020. , Ba.jur., Aalborg Universitet, 2014-2017. , Hhx, Handelsgymnasiet Aalborg, 2011-2014.",,https://www.dr.dk/parliament-member-images/nadja_nathalie_isaksen_500.jpg
Nanna Bonde,Socialistisk Folkeparti,F,18-05-1993,33,Sociolog,"Kandidat i sociologi, Københavns Universitet, 2022. , Bachelor i sociologi, Københavns Universitet, 2020. , Student, Tønder Gymnasium, 2013.","Energiordfører, Forsyningsordfører, Klimaordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/nanna_bonde_500.jpg
Nick Zimmermann,Dansk Folkeparti,O,30-08-1994,31,MF,"Lager- og logistikoperatør, Aarhus Tech, 2012-2015.","Beskæftigelsesordfører, Erhvervsuddannelsesordfører, Tilbagetræknings- og seniorordfører",https://www.dr.dk/parliament-member-images/nick_zimmermann_500.jpg
Nicolai Wammen,Socialdemokratiet,A,07-02-1971,55,Justitsminister,"Cand.scient.pol., Aarhus Universitet, 2001. , Student, Marselisborg Gymnasium, 1991. , High schoolophold, i Massachusetts, USA, 1987-1988. , 10. klasse, Brobjergskolen i Aarhus, 1987.",,"https://www.dr.dk/parliament-member-images/nicolai_wammen_pdf,-d-,jpg.jpg"
Ole Birk Olesen,Liberal Alliance,I,21-12-1972,53,Fhv. minister,"Journalistuddannelsen, Danmarks Journalisthøjskole, 1995-1999. , Matematisk studentereksamen, Aabenraa Statsskole, 1989-1992. , Efterskole, 9.-10. klasse, Vojens Ungdomsskole, 1987-1989. , Folkeskole, 0.-8. klasse, Agerskov Skole, 1978-1987.","Finansordfører, Fødevareordfører, Landdistrikts- og øordfører, Miljøordfører, Naturordfører, Ordfører for ny vækst på landet",https://www.dr.dk/parliament-member-images/ole_birk_olesen_500.jpg
Peder Hvelplund,Enhedslisten,Ø,08-09-1967,58,Pædagog,"Fritidspædagog, Hjørring Seminarium, 1990-1993. , Gymnasium, Ringkøbing Gymnasium, 1983-1986. , Folkeskole, Tim Skole, 1981-1983. , Folkeskole, Hover-Thorsted Friskole, 1974-1981.","Indfødsretsordfører, Integrationsordfører, Psykiatriordfører, Sundhedsordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/peder_hvelplund_500.jpg
Pelle Dragsted,Enhedslisten,Ø,13-04-1975,51,MF,"Master i retorik og formidling, Aarhus Universitet, 2011-2016. , Kandidatstuderende i historie og spansk, Københavns Universitet, 2002-2005. , Bachelor i historie, Københavns Universitet, 1997-2001.",Politisk ordfører,https://www.dr.dk/parliament-member-images/pelle_dragsted_500.jpg
Pernille Christensen,Moderaterne,M,18-06-1974,52,,"Cand.scient.pol., Aarhus Universitet, 2002. , Matematisk studentereksamen, Rødkilde Amtsgymnasium, 1994.","Ældreordfører, Beskæftigelsesordfører, Socialordfører",https://www.dr.dk/parliament-member-images/pernille_christensen_500.jpg
Pernille Vermund,Liberal Alliance,I,03-12-1975,50,Bygningsarkitekt,"Enkeltfag i erhvervsøkonomi og markedsføring, Niels Brock, 2004-2005. , Cand.arch., Kunstakademiets Arkitektskole, København, 1995-2001. , Matematisk studentereksamen, Helsingør Gymnasium, 1991-1994.","Beskæftigelsesordfører, Havordfører, Kirkeordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/pernille_vermund_500.jpg
Peter Hummelgaard,Socialdemokratiet,A,17-01-1983,43,Finansminister,"Cand.jur., Københavns Universitet, 2004-2012. , Student, Tårnby Gymnasium, 2000-2003. , Folkeskole, Skottegårdsskolen, 1989-1999.",,https://www.dr.dk/parliament-member-images/peter_hummelgaard_500.jpg
Peter Juel-Jensen,Venstre,V,18-05-1966,60,Viceskoleinspektør,"Læreruddannet, Hjørring Seminarium, 1996-2000. , Linjeofficer, Frederiksberg Slot, 1991-1993. , Efg og hh, Bornholms Erhvervsskole, Rønne, 1984-1987.","Beredskabsordfører, Transportordfører",https://www.dr.dk/parliament-member-images/peter_juel-jensen_500.jpg
Peter Kofod,Dansk Folkeparti,O,27-02-1990,36,MF,"Folkeskolelærer, UC Syddanmark, Haderslev, 2011-2015. , Hærens basisuddannelse, Telegrafregimentet, Fredericia, 2010. , Studentereksamen, Bornholms Gymnasium, 2006-2009.","Familieordfører, Politisk ordfører",https://www.dr.dk/parliament-member-images/peter_kofod_500.jpg
Peter Larsen,Liberal Alliance,I,17-11-1971,54,Selvstændig,"Finansdiplomstudiet, 1995-1997. , 1 årig HH, Nykøbing Mors, 1993. , Folkeskolens afgangseksamen, Tingstrup Skole, Thisted, 1987. , Student, Thisted Gymnasium, 1987-1990.","Boligordfører, Idrætsordfører, Indenrigsordfører",https://www.dr.dk/parliament-member-images/peter_larsen_500.jpg
Philip Vivet,Radikale Venstre,B,20-08-2000,25,,"Bachelorstuderende, samfundsfag og musikvidenskab (p.t. orlov), Aarhus Universitet fra 2023. , Stx (musik A - matematik A), Herning Gymnasium, 2017-2020. , Efterskole, Orkesterefterskolen, Holstebro, 2016-2017. , Folkeskole, Herningsholmskolen, Herning, 2013-2016.","Børneordfører, Idrætsordfører, Kulturordfører, Medieordfører, Transportordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/philip_vivet_500.jpg
Pia Olsen Dyhr,Socialistisk Folkeparti,F,30-11-1971,54,"Økonomi- o g indenrigsminister, partiformand","Kandidat i statskundskab, Københavns Universitet (orlov 2000-2010), 1992-2010.",,https://www.dr.dk/parliament-member-images/pia_olsen_dyhr_500.jpg
Pil Christensen,Enhedslisten,Ø,24-06-1984,42,Naturpolitisk rådgiver,,"Demokratiordfører, Ligestillingsordfører, Miljøordfører, Naturordfører",https://www.dr.dk/parliament-member-images/pil_christensen_500.jpg
Preben Bang Henriksen,Venstre,V,11-02-1954,72,Fhv. advokat (H),"Cand.jur., Aarhus Universitet, 1979. , Student, Nørresundby Gymnasium, 1974. , Garden City High School, New York, 1973.",Retsordfører,https://www.dr.dk/parliament-member-images/preben_bang_henriksen_500.jpg
Qarsoq Høegh-Dam,Naleraq,,,,,,,https://www.dr.dk/parliament-member-images/qarsoq_hoegh-dam_500.jpg
Rasmus Lund-Nielsen,Moderaterne,M,21-10-1988,37,Psykolog og forfatter,"Cand.psych, Københavns Universitet, 2009-2015.","Børneordfører, Pensionsordfører, Psykiatriordfører, Sundhedsordfører, Trivselsordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/rasmus_lund_nielsen_500.jpg
Rasmus Stoklund,Socialdemokratiet,A,17-03-1984,42,Fhv. minister,"Cand.scient.pol., Københavns Universitet, 2009-2012. , BSc.pol., Københavns Universitet, 2006-2009. , Student, Fredericia Amtsgymnasium, 2000-2003.",Politisk ordfører,https://www.dr.dk/parliament-member-images/rasmus_stoklund_500.jpg
Rasmus Vestergaard Madsen,Enhedslisten,Ø,07-06-1991,35,Økologisk landmand og socialpædagog,"Socialpædagog, VIA University College, Aarhus, 2015-2020. , Økologisk landmand, Kalø Økologisk Landbrugsskole, Rønde, 2010-2013. , Studentereksamen, Marselisborg Gymnasium, Aarhus, 2007-2010.","Dyrevelfærdsordfører, Fiskeriordfører, Fødevareordfører, Klimaordfører, Landbrugsordfører, Ordfører vedr. det tyske mindretal",https://www.dr.dk/parliament-member-images/rasmus_vestergaard_madsen_500.jpg
Rune Bønnelykke,Dansk Folkeparti,O,19-07-1972,53,Selvstændig,"Merkonom i ledelse & samarbejde, Svendborg Handelsskole, 1988-1990.","Ældreordfører, Fiskeriordfører, Fødevareordfører, Landbrugsordfører, Miljøordfører",https://www.dr.dk/parliament-member-images/rune_boennelykke_500.jpg
Rune Kristensen,Det Konservative Folkeparti,C,07-04-1982,44,Chefkommunikationskonsulent,"Engelsk (Common European Framework of Reference for Languages (CEFR), niveau C1), Virksomhedsskolen, 2018. , Finansiel forretningsforståelse, Aalborg Universitet (AAU Executive), 2017. , Kandidat i statskundskab, Københavns Universitet, 2012. , Bachelor i statskundskab, Syddansk Universitet, 2007. , Hhx, Lollands Handelsgymnasium, 2002. , Efterskole, Humble Efterskole, 1999. , Folkeskole, Halsted-Aunede Centralskole, 1998. , Lederuddannelse, Det Danske Spejderkorps, 1996.","Erhvervsordfører, Færøerneordfører, Finansordfører",https://www.dr.dk/parliament-member-images/rune_kristensen_500.jpg
Samira Nawa,Radikale Venstre,B,30-03-1988,38,"Klima-, energi- og forsyningsminister","Enkeltfag, University of Hyderabad, 2012. , Enkeltfag, London School of Economics, 2009. , Cand.polit., Københavns Universitet, 2007-2014. , Matematisk student, Roskilde Katedralskole, 2004-2007.",,https://www.dr.dk/parliament-member-images/samira_nawa_500.jpg
Signe Munk,Socialistisk Folkeparti,F,10-03-1990,36,"By-, land- og transportminister","Sygeplejerske, VIA University College Viborg , 2023. , Bachelor i statskundskab, Aarhus Universitet, 2010-2013. , Student, Viborg Katedralskole, 2006-2009.",,https://www.dr.dk/parliament-member-images/signe_munk_500.jpg
Signe Wenneberg,Alternativet,Å,12-04-1968,58,"Retoriker, redaktør og journalist, foredragsholder","Retorik og kulturjournalistik, Københavns Universitet, 1991-1997. , Samfundssproglig studentereksamen, Haslev Gymnasium, 1984-1987.","Boligordfører, Færøerneordfører, Forsvarsordfører, Grønlandsordfører, Iværksætterordfører, Kirkeordfører, Kulturordfører, Medieordfører, Udenrigsordfører, Udviklingsordfører, Beredskabsordfører, Dyrerettighedsordfører, Indenrigsordfører",https://www.dr.dk/parliament-member-images/signe_wenneberg_500.jpg
Sigurd Agersnap,Socialistisk Folkeparti,F,02-03-1993,33,MF,"Cand.scient.pol, Københavns Universitet, 2015-2020.",Politisk ordfører,https://www.dr.dk/parliament-member-images/sigurd_agersnap_500.jpg
Simon Kollerup,Socialdemokratiet,A,20-05-1986,40,Fhv. minister,"Cand.scient.pol., Københavns Universitet, 2009-2011. , Værnepligt, Flyvevåbnet, 2006. , BSc.pol., Københavns Universitet, 2006-2009. , Gymnasial uddannelse, Thisted Gymnasium og HF-kursus, 2002-2005.",Forsvarsordfører,https://www.dr.dk/parliament-member-images/simon_kollerup_500.jpg
Sinem Dybvad Demir,Enhedslisten,Ø,11-04-1992,34,Faglært tjener og selvstændig,"Faglært tjener, Kokke- og Tjenerskolen ZBC, Slagelse, 2021. , Student, Tornbjerg Gymnasium, Odense, 2011. , Folkeskolens afgangseksamen, Kragsbjergskolen, Odense, 2008.","Arbejdsmarkedsordfører, Arbejdsmiljøordfører, Erhvervsordfører",https://www.dr.dk/parliament-member-images/sinem_dybvad_demir_500.jpg
Sjúrður Skaale,Javnaðarflokkurin,,08-03-1967,59,Cand.scient.pol.,"Cand.scient.pol., Københavns Universitet og Universidad Complutense de Madrid, 1992-1997. , Suppleringsuddannelse i spansk, Københavns Universitet, 1990-1991.",,https://www.dr.dk/parliament-member-images/sjurdur_skaale_500.jpg
Sofie F. Villadsen,Socialistisk Folkeparti,F,27-02-1994,32,,"Cand.pæd. i pædagogisk antropologi, Aarhus Universitet, Emdrup, 2025. , Folkeskolelærer, VIA University College, Aarhus, og Københavns Professionshøjskole, København, 2022.","Forskningsordfører, Indenrigsordfører, Uddannelsesordfører",https://www.dr.dk/parliament-member-images/sofie_f_villadsen_500.jpg
Sofie Lippert,Socialistisk Folkeparti,F,20-12-1995,30,MF,"Bachelor i matematik, Aarhus Universitet, 2016-2019.","Finansordfører, Skatteordfører",https://www.dr.dk/parliament-member-images/sofie_lippert_500.jpg
Sofie Therese Svendsen,Det Konservative Folkeparti,C,10-08-2002,23,Studerende,"Bachelorstuderende, Kommunikation og digitale medier, Aalborg Universitet fra 2024. , Stx, Aalborghus Gymnasium, 2018-2021. , Folkeskole, Gug Skole, Aalborg.","Digitaliseringsordfører, Kunstig-intelligensordfører, Ligestillingsordfører, Skatteordfører, Uddannelsesordfører",https://www.dr.dk/parliament-member-images/sofie_therese_svendsen_500.jpg
Sofie de Bretteville,Socialdemokratiet,A,29-03-2001,25,Jordemoderstuderende,"Jordemoderuddannelsen, Københavns Proffesionshøjskole fra 2022. , Folkeskole, Hedegårdsskolen, Ballerup, 2007-2017. , Hf-student, HF-kursus, Frederiksberg, 2020.",Børneordfører,https://www.dr.dk/parliament-member-images/sofie_de_bretteville_500.jpg
Sophie Hæstorp Andersen,Socialdemokratiet,A,26-09-1974,51,Fhv. minister,"Cand.scient.pol., Københavns Universitet, 2006. , Matematisk studentereksamen, Gladsaxe Gymnasium, 1991-1994. , Udvekslingsstudent, Aurora Central High School, Colorado, USA, 1990-1991. , 9. klasse, Gladsaxe Skole, 1980-1990.","Hovedstadsordfører, Idrætsordfører, Kulturordfører, Medieordfører",https://www.dr.dk/parliament-member-images/sophie_haestorp_andersen_500.jpg
Sophie Løhde,Venstre,V,11-09-1983,42,Fhv. minister,"Young European Leadership Programme, International Visitor Leadership Programme, U.S. Embassy, 2011. , Bachelor i erhvervsøkonomi og virksomhedskommunikation, Copenhagen Business School (CBS), 2004-2007. , Sproglig studentereksamen, Frederiksborg Gymnasium og HF, 1999-2002. , Folkeskolens afgangseksamen, Parkvejskolen, Birkerød, 1999.","Indenrigsordfører, Politisk ordfører",https://www.dr.dk/parliament-member-images/sophie_lohde_500.jpg
Steffen Holme Helledie,Radikale Venstre,B,12-10-1989,36,International virksomhed-konsulent,"MSc i Innovation Management , Aalborg Universitet og Graduate, University of Chinese Academy of Sciences, 2012-2014. , Bachelor i erhvervsøkonomi, Aalborg Universitet, 2009-2012. , Hhx, Hjørring Handelsskole, 2006-2009. , Folkeskole, Lundergårdskolen, Hjørring, 1995-2005.","Digitaliseringsordfører, Erhvervsordfører, Europaordfører, It-ordfører",https://www.dr.dk/parliament-member-images/steffen_holme_helledie_500.jpg
Steffen W. Frølund,Liberal Alliance,I,15-07-1984,41,MF,"MSc. Management of Innovation and Business Development (MIB), Copenhagen Business School (CBS), 2011.","Energiordfører, Erhvervsordfører, Klimaordfører",https://www.dr.dk/parliament-member-images/steffen_w_froelund_500.jpg
Stephanie Lose,Venstre,V,14-12-1982,43,Fhv. minister,"Bestyrelsesuddannelse, Copenhagen Business School (CBS), 2019. , Cand.oecon, Syddansk Universitet, 2001-2006. , Student, Tønder Gymnasium, 1998-2001. , Folkeskole, Løgumkloster Kommuneskole, 1996-1998. , Folkeskole, Nr. Løgum Centralskole, 1988-1996.","Finansordfører, Pensions- og tilbagetræningsordfører, Ordfører for vækst og reformer",https://www.dr.dk/parliament-member-images/stephanie_lohse_500.jpg
Stinus Lindgreen,Radikale Venstre,B,09-08-1980,45,"Ph.d., forsker","Ph.d. i bioinformatik, Københavns Universitet, 2006-2010. , Kandidat i bioinformatik, Københavns Universitet, 2003-2006. , Bachelor i datalogi, Københavns Universitet, 2000-2003.","Beredskabsordfører, Forskningsordfører, Forsvarsordfører, Sundhedsordfører, Uddannelsesordfører",https://www.dr.dk/parliament-member-images/stinus_lindgreen_500.jpg
Susie Jessen,Danmarksdemokraterne,Æ,21-02-1985,41,Journalist,"Journalist, Danmarks Journalisthøjskole (DMJX), 2006-2010. , Student, Vordingborg Gymnasium, 2000-2003. , Grundskole, Niels Steensens, København, 2000.","Kulturordfører, Landdistrikts- og øordfører, Medieordfører, Politisk ordfører",https://www.dr.dk/parliament-member-images/susie_jessen_500.jpg
Sólbjørg Jakobsen,Liberal Alliance,I,08-08-1991,34,MF,"Cand.jur., Aalborg Universitet, 2014-2016. , Bac.jur., Aalborg Universitet, 2011-2014. , Hhx, Handelsskolen på Færøerne, Kambsdal, 2007-2011. , Folkeskolen, Runavíkar Kommunuskúli, Runavík, Færøerne, 1998-2007.","Færøerneordfører, Familieordfører, Ligestillingsordfører",https://www.dr.dk/parliament-member-images/solbjoerg_jakobsen_500.jpg
Søren Boel Olesen,Dansk Folkeparti,O,21-06-1984,42,Automekaniker,"Bestyrelsesuddannelse, Aarhus Universitet, 2019-2020. , Pædagogisk diplomuddannelse, Metropol København, 2009-2011. , Mekaniker, Uddannelsescenter Holstebro, 2001-2005. , Grundskole, Halgård Skole, Holstebro, AFCENT International School, Brunssum, Holland og Tvis Skole Holstebro, 1990-2001.","Erhvervsordfører, Indenrigsordfører",https://www.dr.dk/parliament-member-images/soeren_boel_olesen_500.jpg
Søren Gade,Venstre,V,27-01-1963,63,Folketingets formand,"IAA-diplomuddannelse, Den danske Reklameskole, 1999. , FN-observatørkursus, 1999. , Cand.oecon., Aarhus Universitet, 1990. , VUT-I for reserveofficerer, 1988-1989. , Løjtnantskolen, Oksbøl, 1985-1990. , Sergentskolen, Sønderborg, 1983. , Student, samfundsfaglig linje, Holstebro Gymnasium, 1980-1982. , Sønderlandsskolen, Holstebro, 1979.","Fiskeriordfører, Idrætsordfører, Kirkeordfører",https://www.dr.dk/parliament-member-images/soeren_gade_500.jpg
Theresa Berg Andersen,Socialistisk Folkeparti,F,29-12-1979,46,MF,"Master i offentlig ledelse, Aarhus Universitet, 2010-2015. , Pædagog, Ranum Seminarium, 1999-2003.","Børneordfører, Kirkeordfører",https://www.dr.dk/parliament-member-images/theresa_berg_andersen_500.jpg
Thomas Danielsen,Venstre,V,24-06-1983,43,Fhv. minister,"Bankrådgiveruddannelse, Sparekassen Holstebro, 2009. , Lastvognsmekaniker, Iveco, Holstebro, 2004.","Erhvervsordfører, Forsvarsordfører",https://www.dr.dk/parliament-member-images/thomas_danielsen_500.jpg
Thomas Klimek,Socialdemokratiet,A,14-02-1977,49,,"Folkeskolelærer, Hjørring Seminarium, 2003-2007. , Hf, Fyns HF-kursus, Odense, 1999-2001. , Erhvervsuddannelse, salgsassistent, Mr. Isaksen, Odense, 1996-1998. , Hg, Tietgenskolen, Odense, 1995-1996.","Ældreordfører, Færøerneordfører",https://www.dr.dk/parliament-member-images/thomas_klimek_500.jpg
Thomas Monberg,Socialdemokratiet,A,19-04-1976,50,MF,"Linjefag i religion, kristendom og filosofi, UCL Erhvervsakademi og Professionshøjskole, Odense, 2021. , Hf enkeltfag historie og matematik, Horsens HF og VUC, 2019. , Grafisk trykker, Kolding Tekniske Skole, 1993-1997.",Beskæftigelsesordfører,https://www.dr.dk/parliament-member-images/thomas_monberg_500.jpg
Thomas Rohden,Radikale Venstre,B,31-01-1996,30,,"Bachelor i Statskundskab, Københavns Universitet, 2019. , Student (stx), Aabenraa Statsskole, 2015. , Folkeskolens afgangseksamen, Hoptrup Efterskole, 2012.","Arktisordfører, Færøerneordfører, Grønlandsordfører, Miljøordfører, Ordfører for nordisk samarbejde, Politisk ordfører, Udenrigsordfører",https://www.dr.dk/parliament-member-images/thomas_rohden_500.jpg
Thomas Skriver Jensen,Socialdemokratiet,A,27-03-1996,30,Industritekniker,"Industritekniker, Syddansk Erhvervsskole, Odense, 2019. , Værnepligtig, Den Kongelige Livgarde, København, 2016. , Studentereksamen (stx), Nordfyns Gymnasium, Søndersø, 2015. , Efterskole, Rejsby Europæiske Efterskole, 2012. , Folkeskole, Skamby Skole, 2011.","Integrationsordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/thomas_skriver_jensen_500.jpg
Thorbjørn Jacobsen,Liberal Alliance,I,09-11-1980,45,Ingeniør,"B.Sc. Business Development Engineer, Handels- og Ingeniørhøjskolen, Herning, 2025. , Matematisk studentereksamen, Holstebro Gymnasium og HF, 2000.","Ældreordfører, EU-ordfører",https://www.dr.dk/parliament-member-images/thorbjoern_jacobsen_500.jpg
Torsten Gejl,Alternativet,Å,30-01-1964,62,MF,"Kaospilot, KaosPiloterne, Aarhus, 1990-1993. , Journalistkursus Ajour, Frontløberne, Aarhus, 1988-1989.","Arbejdsmarkedsordfører, Fiskeriordfører, Handicapordfører, Miljøordfører, Socialordfører, Beskæftigelsesordfører, Cannabisordfører, Ordfører for modstand mod sorte anlægsprojekter, Naturordfører, Ulveordfører",https://www.dr.dk/parliament-member-images/torsten_gejl_500.jpg
Trine Birk Andersen,Socialdemokratiet,A,20-07-1974,51,Sygeplejerske,"Specialsygeplejerske psykiatri, Diakonissestiftelsen, Frederiksberg, 2002-2005.","Forebyggelsesordfører, Kirkeordfører, Psykiatriordfører",https://www.dr.dk/parliament-member-images/trine_birk_andersen_500.jpg
Trine Bramsen,Socialdemokratiet,A,26-03-1981,45,Fhv. minister,"Cand.scient.soc., Roskilde Universitetscenter, 2001-2007. , Hf, VUC Fyn, 2000-2001. , Svendborg Gymnasium, 1997-2000.","Boligordfører, Forskningsordfører, Uddannelsesordfører",https://www.dr.dk/parliament-member-images/trine_bramsen_500.jpg
Trine Jepsen,Venstre,V,29-09-1977,48,Selvstændig,"Diplomuddannelse i Ledelse, Kunst & kultur, De danske scenekunstskoler, 2017-2018. , Student, Ribe Katedralskole, 1993-1996. , Folkeskole, Højmarkskolen, Holsted, 1984-1993.","Beskæftigelsesordfører, Landdistrikts- og øordfører, Ligestillingsordfører, Turismeordfører",https://www.dr.dk/parliament-member-images/trine_jepsen_500.jpg
Trine Pertou Mach,Enhedslisten,Ø,09-10-1969,56,Politik- og pressechef,"Statskundskab, Aarhus Universitet, 1990-1998. , Studentereksamen, Ringkjøbing Gymnasium, 1985-1988.","Arktisordfører, Færøerneordfører, Grønlandsordfører, Kirkeordfører, Ordfører vedr. nordisk samarbejde, Udenrigsordfører, Udviklingsordfører",https://www.dr.dk/parliament-member-images/trine_pertou_mach_500.jpg
Troels Lund Poulsen,Venstre,V,30-03-1976,50,"Formand for Venstre, fhv. minister","Student, Tørring Amtsgymnasium, 1992-1995. , Folkeskolen, Lindved Skole, 1982-1992.","Færøerneordfører, Grønlandsordfører","https://www.dr.dk/parliament-member-images/troels_lund_poulsen_500,-d-,jpg.jpg"
Ulrik Knudsen,Danmarksdemokraterne,Æ,12-10-1978,47,Erhvervschef,"Bestyrelsesuddannelse, Aarhus Universitet, 2018. , HD i regnskab og økonomistyring, Syddansk Universitet, 2005. , Hhx, Vejle Handelsskole, 1998. , Folkeskole, Ødsted Skole, 1995.","Boligordfører, Digitaliseringsordfører, Erhvervsordfører, Indfødsretsordfører, It-ordfører",https://www.dr.dk/parliament-member-images/ulrik_knudsen_500.jpg
Victoria Velasquez,Enhedslisten,Ø,18-07-1991,34,MF,"Cand.soc. i arbejdslivsstudier og socialvidenskab, Institut for Mennesker og Teknologi, RUC, 2012-2017.","Finansordfører, Socialordfører",https://www.dr.dk/parliament-member-images/victoria_velasquez_500.jpg
Zenia Stampe,Radikale Venstre,B,30-03-1979,47,Kulturminister,"Cand.scient.pol., Københavns Universitet, 2009.",,https://www.dr.dk/parliament-member-images/zenia_stampe_500.jpg
